"item_id","item_short","item_full"
"t101","poll-tax","People should be taxed at a lump-sum rate. Everyone should pay the same as an absolute amount of money."
"t102","cit","Corporations should be taxed on their income, too. If a firm makes a profit, it should pay a percentage of that in taxes."
"t103","pit","People should pay taxes as a percentage of what they earn in capital and labor income. For example, a person should pay a share of the rents, wages, dividends and so forth as taxes."
"t104","lbt","Local businesses should pay taxes to the local community in relation to the revenue generated in that locality."
"t105","payroll","People should pay taxes only as a percentage of their labor income, but not on the income from their savings. For example, a worker should pay a share of her wages, but not on the returns from her life insurance."
"t106","sic-parity","Employee and employer should share taxes on labor, such as social insurance contributions. For example, a worker and her employer should each pay half of the money she has to pay for health insurance."
"t107","vat","People should pay taxes on what they consume in final goods and services at the point of sale, at a uniform rate. For example, a person who goes to a restaurant should pay a tax on the receipt."
"t108","pct","People should pay taxes on what they consume in final goods as the difference between their earnings and net savings, at a progressive rate. For example, a person who earned 50k EUR, saved 20k, dissaved 10k must have consumed 40k and should be taxed on that."
"t109","wt","People should pay taxes on what they own, net of all assets and liablities. For example, a person who owns something worth 1500k and has debts of 200k should pay taxes on 1300k."
"t110","lvt-resources","People should pay taxes on the value of natural resources they extract, but not on the value added by making them available. For example, someone who digs up minerals should pay taxes on the value of those minerals as if they were still in the ground."
"t111","lvt","People should pay taxes on the unimproved value of land they occupy. For example, someone who has build a house on a piece of land should pay taxes on the value of the land, but not the house on it, or the piping layed to it."
"t112","ftt","People and corporations should pay taxes on fast, short-term, repetitive financial transactions. For example, if a person or a firm bought and sold something many times a day, it should pay taxes on that revenue."
"t113","pigouvian-tax","People and corporations should pay taxes for things that are bad for the common good. For example, if a firm causes a lot of NOx pollution, it should pay a tax on that. Similarly, if a person used a lot of carbon-fueled energy, she should pay a tax on that."
"t114","curb-corporate-power","Taxation should curb the power of rich and mighty corporations."
"t115","ordinary-savings-norm","Income from capital is not really income, it is just a compensation for endured risk and delayed gratification. For example, if a person does not buy a thing she wants today, but only in twenty years, the interest she gets on that saving in the meantime is just a reward for her patience and willingness to absorb the risk of, say, dying early, or the bank going under."
